"vars","estimates"
"intercept",0.528285775430471
"wclapse",-0.136654654595228
"short",1.22799548159194
"long",4.30376395895727
"albedo",-0.433804430488635
"u1.site",-0.0151330720615157
"invwind",-1.9697148703548
"lsrdif",-0.246363648341964
"tempdif",-0.14773124632155
"evapdif",32.1399240773014
"condendif",-0.0605901460485617
"flow.acc",-0.00115536825698623
"tic1",-0.805360421967141
"short.albedo",3.11452082999068
"short.u1site",-0.215407085841324
"long.u1site",-0.59455647839578
"invwind.lsrdif",-0.233087168740045
"u1site.tempdif",0.0120566845429608
"lsrdif.tempdif",0.332321875273598
"flowacc.tic1",0.00329929118781064
